#b5b6	p3_p4	b1_4	g	Gr	r	t	u2	u3	y1_y2	y3_y4	code	status
1.9446	0.967	3.8346	2.8077	1.8678	3.5928	1.8745	0.9607	0.9787	1.9271	1.8576	0	OK
1.9632	0.9906	3.9204	2.8815	1.9881	3.7845	1.9355	0.9805	1.0489	1.9633	1.8765	0	OK
1.967	0.977	3.8892	2.8722	1.9033	3.6898	1.8971	0.971	0.9589	1.9754	1.8297	0	OK
2.019	0.9947	3.9559	2.8918	1.9154	3.9237	1.8991	1.0115	0.9545	1.9618	1.8618	0	OK
1.9264	0.9797	3.8471	2.8966	1.8416	3.5845	1.9233	0.9249	1.0032	1.915	1.8451	0	OK
1.8907	1.0123	3.8359	2.9894	1.8817	3.7137	2.0533	0.9687	1.3199	1.9263	1.8814	0	OK
1.9229	1.0069	3.8575	2.8889	1.9786	3.6859	1.8947	0.985	1.3574	1.9424	1.8728	0	OK
1.8745	1.0176	3.9406	3.2031	1.9198	3.7687	1.9406	0.9466	0.9769	2.0136	1.8653	0	OK
1.9448	0.9925	3.87	3.0531	1.9152	3.7005	2.0231	0.9312	0.9472	1.8965	1.8682	0	OK
1.9395	1.0117	3.9959	3.1332	1.9719	3.8375	2.0093	1.0005	0.9696	1.9829	1.9088	0	OK
1.9303	1.0571	3.7481	2.9626	1.8614	3.5104	1.8427	0.8745	0.9991	1.9138	1.8579	0	OK
1.6435	0.9851	3.2558	2.4818	1.663	3.0089	1.6474	0.952	0.8225	1.627	1.5825	0	OK
1.9305	0.9693	3.8952	2.8791	1.9589	3.6757	1.9237	1.0032	0.9941	1.937	1.9025	0	OK
1.8924	1.0178	3.8323	2.755	1.8851	3.6618	1.7358	0.9606	0.9928	1.9097	1.7846	0	OK
1.8073	1.0099	3.5864	3.1323	1.7727	3.2221	2.32	0.8717	0.8714	1.7541	1.9474	0	OK
1.7748	0.9674	3.4473	2.6011	1.8132	3.4397	1.748	0.9044	0.7813	1.816	1.9198	0	OK
1.8329	0.9872	3.6924	2.9519	1.8466	3.4761	1.8838	0.8916	0.9249	1.8755	1.8485	0	OK
1.8345	0.9616	3.6839	2.796	1.9483	3.524	1.7519	0.9393	0.8132	1.9	1.9312	0	OK
1.9664	0.9595	3.7803	3.0712	1.9493	3.6262	2.0584	0.9449	1.0452	1.873	1.9342	0	OK
1.7851	0.9937	3.6533	2.9921	1.8335	3.3748	1.8944	0.8859	0.8548	1.8794	1.98	0	OK
1.6888	0.9706	3.5171	2.9356	1.883	3.3664	1.927	0.8672	0.8211	1.7837	1.9426	0	OK
1.7026	0.9891	3.4663	3.2296	1.8226	3.2664	2.193	0.8829	0.8066	1.7679	1.9308	0	OK
1.907	0.965	3.8556	3.0298	1.8902	3.63	2.0777	0.9219	0.8555	1.9196	1.9345	0	OK
1.6791	1.0624	3.5974	3.6225	1.7977	3.274	1.9192	0.9168	0.8374	1.7401	1.7581	0	OK
1.8397	1.0295	3.7292	3.5242	1.8628	3.5792	2.3321	0.9058	0.9844	1.8458	1.8849	0	OK
1.7644	1.098	3.5661	3.6038	1.7541	3.3315	2.3611	0.8863	0.9236	1.741	1.8484	0	OK
1.8269	1.0726	3.725	3.3678	1.8593	3.6355	2.1128	0.9346	0.9006	1.8673	1.8307	0	OK
1.7468	1.1272	3.5276	3.6403	1.7557	3.3989	2.2823	0.8654	0.9533	1.758	1.769	0	OK
1.7692	1.2063	3.7264	3.5743	1.8236	3.605	2.1106	0.8994	0.8135	1.8469	1.767	0	OK
1.8591	1.0606	3.603	3.1933	1.7653	3.3728	2.3869	0.8461	0.8553	1.7294	1.9953	0	OK
1.8807	1.0324	3.7858	2.8104	1.9248	3.7702	1.8163	0.9641	0.9087	1.9346	1.8786	0	OK
1.8719	1.0743	3.691	3.2962	1.8375	3.375	2.3369	0.8392	0.9024	1.7791	1.9901	0	OK
1.8429	1.0199	3.6956	3.1576	1.805	3.4399	2.0679	0.8793	0.8134	1.804	1.8909	0	OK
1.9432	0.9744	3.878	2.9186	1.9374	3.7197	1.8989	0.96	0.9855	1.9141	1.9186	0	OK
1.7283	1.0287	3.5185	3.4589	1.779	3.435	2.0719	0.8608	0.9529	1.7493	1.8146	0	OK
1.8722	1.0595	3.6905	3.0976	1.8021	3.4672	2.0177	0.8706	0.9267	1.813	1.9452	0	OK
1.8387	1.0104	3.6605	3.0209	1.8868	3.602	1.9971	0.9313	0.9167	1.822	1.8676	0	OK
1.8413	1.0463	3.6957	2.7247	1.8302	3.6689	1.7378	0.953	0.9199	1.8799	1.825	0	OK
1.8811	1.0476	3.7631	3.1435	1.8929	3.5479	2.0981	0.8723	0.8941	1.8867	1.984	0	OK
1.7102	1.0686	3.3885	3.0831	1.6857	3.1449	2.6759	0.8669	0.8297	1.6287	2.046	0	OK
1.7483	1.0131	3.5712	3.0662	1.8879	3.6016	2.1131	0.9025	0.8616	1.7961	1.9597	0	OK
1.9042	1.0799	3.8921	4.0192	1.3446	3.9515	2.0482	0.904	1.4207	1.9066	2.0724	0	OK
1.6731	0.9893	3.3727	2.9444	1.7432	3.2076	1.9772	0.836	0.8814	1.6626	1.7617	0	OK
1.783	1.0179	3.5552	2.9108	1.7907	3.5188	1.9198	0.9305	0.8467	1.8048	1.8362	0	OK
1.9615	0.9735	3.9264	3.0068	2.0666	3.6856	1.9976	0.9885	0.9563	1.9726	1.8913	0	OK
1.937	0.9661	3.8514	2.8585	1.8577	3.6486	1.9474	0.9328	0.9148	1.8847	1.8486	0	OK
1.9073	0.9883	3.8627	3.3159	1.8871	3.6858	2.1529	0.9823	1.0235	1.9344	1.9203	0	OK
1.9265	0.9864	3.9449	3.2078	1.9265	3.7463	2.0602	0.9706	0.8947	1.98	1.9105	0	OK
